data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
10120,COCC11248560,'202212261320122673639099,'202212261326132673660019,COCV_578,9000,2022-12-26 13:36:43.0,SHP,SHP,BO,lopez.angiev_m,
10121,COCC11248586,'202212261334302673682352,'202212261414202673803799,COCV_156,9000,2022-12-26 14:15:42.0,SHP,SHP,BO,huerfano.laura_m,
10122,COCC11248588,'202212261335092673683501,'202212261341552673704289,COCV_621,9000,2022-12-26 13:50:06.0,SHP,SHP,BO,martinez.maria_m,
10123,COCC11248595,'202212261337312673688929,'202212261357512673746544,COCV_190,9000,2022-12-26 13:59:24.0,SHP,SHP,BO,maestre.deisy_m,
10124,COCC11248631,'202212261356572673745002,'202212261359412673752899,COCV_220,9000,2022-12-26 14:07:27.0,SHP,SHP,BO,sepulveda.andres_m,
10125,COCC11248634,'202212261357402673746233,'202212261402202673766567,COCV_545,9000,2022-12-26 14:03:38.0,SHP,SHP,BO,estupinan.sandra_m,
10126,COCC11248657,'202212261405592673774783,'202212261410222673787924,COCV_660,9000,2022-12-26 14:35:31.0,SHP,SHP,BO,gomez.constanza_m,
10127,COCC11248671,'202212261409472673784150,'202212261414222673803926,COCV_190,9000,2022-12-26 14:17:48.0,SHP,SHP,BO,maestre.deisy_m,
10128,COCC11248683,'202212261414372673804879,'202212261423132673831038,COCV_885,9000,2022-12-26 14:30:12.0,SHP,SHP,BO,hernandez.shirly_m,
10129,COCC11248687,'202212261415152673806385,'202212261517202674040548,COCV_181,9000,2022-12-26 15:19:28.0,SHP,SHP,BO,sena.laudid_m,
10130,COCC11248689,'202212261415212673806579,'202212261433042673870948,COCV_545,9000,2022-12-26 14:38:11.0,SHP,SHP,BO,estupinan.sandra_m,
10131,COCC11248689,'202212261415212673806579,'202212261439072673887783,COCV_378,9000,2022-12-26 14:41:03.0,SHP,SHP,CNCL,fandino.leidy_m,
10132,COCC11248699,'202212261418382673811232,'202212261425132673839111,COCV_190,9000,2022-12-26 14:26:33.0,SHP,SHP,BO,maestre.deisy_m,
10133,COCC11248699,'202212261418382673811232,'202212261429042673850365,COCV_155,9000,2022-12-26 14:39:45.0,SHP,SHP,CNCL,burgos.sandra_m,
10134,COCC11248720,'202212261424252673836048,'202212261431082673865517,COCV_428,9000,2022-12-26 14:33:55.0,SHP,SHP,BO,triana.diana_m,
10135,COCC11248759,'202212261435522673879550,'202212261439032673887344,COCV_220,9000,2022-12-26 14:44:14.0,SHP,SHP,BO,sepulveda.andres_m,
10136,COCC11248759,'202212261435522673879550,'202212261445012673912588,COCV_621,9000,2022-12-26 14:50:51.0,SHP,SHP,BO,martinez.maria_m,
10137,COCC11248788,'202212261447442673921667,'202212261452572673943687,COCV_816,9000,2022-12-26 14:58:39.0,SHP,SHP,null,astudillo.deisy_m,
