data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
124,CO11354191,'202212011403352506419177,'202212011405102506429698,COCV_185,9000,2022-12-01 14:07:59.0,SHP,SHP,BO,orozco.evelin_m,
125,CO11354199,'202212011418342506525155,'202212011420092506538645,COCV_885,9000,2022-12-01 14:28:04.0,SHP,SHP,null,hernandez.shirly_m,
126,CO11354214,'202212011438352506677653,'202212011440172506691448,COCV_411,9000,2022-12-01 14:42:52.0,SHP,SHP,BO,arenas.jenny_m,
127,CO11354215,'202212011441312506705433,'202212011443072506715743,COCV_688,9000,2022-12-01 14:50:33.0,SHP,SHP,BO,rodriguez.olga_m,
128,CO11354216,'202212011436312506662875,'202212011438422506678616,COCV_391,9000,2022-12-01 14:59:10.0,SHP,SHP,null,null,
129,CO11354221,'202212011453312506795501,'202212011455092506808333,COCV_577,9000,2022-12-01 14:56:19.0,SHP,SHP,BO,escobar.diana_m,
130,CO11354223,'202212011456352506819706,'202212011458092506830623,COCV_156,9000,2022-12-01 15:00:19.0,SHP,SHP,BO,nieto.angie_m,
131,CO11354318,'202212011538352507148153,'202212011539432507155301,COCV_381,9000,2022-12-01 15:42:09.0,SHP,SHP,BO,aguilera.catalina_m,
132,CO11354320,'202212011541312507174871,'202212011543072507185799,COCV_832,9000,2022-12-01 16:03:10.0,SHP,SHP,null,null,
133,CO11354379,'202212011651342507698957,'202212011653092507708485,COCV_156,9000,2022-12-01 16:55:36.0,SHP,SHP,BO,nieto.angie_m,
134,CO11354391,'202212011611352507401034,'202212011613092507410417,COCV_881,9000,2022-12-02 00:05:39.0,SHP,SHP,null,luna.kelly_m,
135,CO11354415,'202212011648322507671920,'202212011650322507688503,COCV_556,9000,2022-12-01 16:57:18.0,SHP,SHP,BO,chavarria.cesar_m,
136,CO11354442,'202212011721362507919932,'202212011723082507930125,COCV_874,9000,2022-12-01 17:26:32.0,SHP,SHP,BO,cardozoe.daniela_m,
137,CO11354478,'202212011758372508188266,'202212011800112508200821,COCV_392,9000,2022-12-01 18:02:47.0,SHP,SHP,BO,dominguez.domingo_m,
138,CO11354478,'202212011758372508188266,'202212011804082508230839,COCV_654,9000,2022-12-01 18:05:44.0,SHP,SHP,CNCL,herrera.elen_m,
139,CO11354478,'202212011758372508188266,'202212012025072509287041,COCV_643,9000,2022-12-01 20:28:53.0,SHP,SHP,CNCL,grajales.kenly_m,
140,CO11354540,'202212011751372508143440,'202212011753082508151658,COCV_155,9000,2022-12-01 17:55:44.0,SHP,SHP,BO,burgos.sandra_m,
141,CO11354553,'202212011813352508302329,'202212011815112508312656,COCV_874,9000,2022-12-01 18:23:31.0,SHP,SHP,null,cardozoe.daniela_m,
142,CO11354568,'202212011818352508334619,'202212011820112508346447,COCV_578,9000,2022-12-01 18:33:02.0,SHP,SHP,BO,burbano.marinela_m,
143,CO11354568,'202212011818352508334619,'202212011835002508451019,COCV_782,9000,2022-12-01 18:55:09.0,SHP,SHP,null,null,
