data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
88,CO11406963,'202301020353382704317647,'202301020356092704318012,COCV_381,9000,2023-01-02 04:16:31.0,SHP,SHP,null,null,
89,CO11406968,'202301020453382704344330,'202301020455242704344511,COCV_181,9000,2023-01-02 11:04:38.0,SHP,SHP,null,vargas.nathaly_m,
90,CO11406970,'202301020508372704348310,'202301020510112704348990,COCV_545,9000,2023-01-02 05:11:37.0,SHP,SHP,BO,leon.laura_m,
91,CO11406970,'202301020508372704348310,'202301020514082704350835,COCV_392,9000,2023-01-02 11:55:35.0,SHP,SHP,CNCL,rojas.nicolas_m,
92,CO11406971,'202301020808282705671780,'202301020811192705674607,COCV_101,9000,2023-01-02 08:31:30.0,SHP,SHP,null,null,
93,CO11406984,'202301020223362704247530,'202301020225052704248157,COCV_279,9000,2023-01-02 12:34:56.0,SHP,SHP,BO,orozco.natalia_m,
94,CO11406987,'202301020226392704249053,'202301020229022704250167,COCV_381,9000,2023-01-02 02:49:30.0,SHP,SHP,null,null,
95,CO11406994,'202301020246392704266133,'202301020248242704266624,COCV_101,9000,2023-01-02 05:20:30.0,SHP,SHP,null,null,
96,CO11406995,'202301020246392704266147,'202301020248242704266662,COCV_549,9000,2023-01-02 03:08:30.0,SHP,SHP,null,null,
97,CO11406995,'202301020246392704266147,'202301020312082704288955,COCV_101,9000,2023-01-02 03:32:31.0,SHP,SHP,null,null,
98,CO11407014,'202301020351382704317380,'202301020353242704317622,COCV_545,9000,2023-01-02 03:54:57.0,SHP,SHP,BO,leon.laura_m,
99,CO11407014,'202301020351382704317380,'202301020356092704318042,COCV_101,9000,2023-01-02 05:20:32.0,SHP,SHP,null,null,
100,CO11407016,'202301020401352704322111,'202301020404222704322455,COCV_381,9000,2023-01-02 05:20:33.0,SHP,SHP,null,null,
101,CO11407044,'202301021236302706407640,'202301021239012706409573,COCV_470,9000,2023-01-02 13:17:54.0,SHP,SHP,BO,herrera.geraldine_m,
102,CO11407048,'202301021241332706416915,'202301021242592706417439,COCV_378,9000,2023-01-02 12:46:51.0,SHP,SHP,BO,sereno.zunilda_m,
103,CO11407052,'202301021251342706428171,'202301021253242706429543,COCV_381,9000,2023-01-02 12:55:00.0,SHP,SHP,BO,carmona.julieta_m,
104,CO11407057,'202301021256312706431609,'202301021258252706433085,COCV_101,9000,2023-01-02 13:18:29.0,SHP,SHP,null,null,
105,CO11407073,'202301021333342706504199,'202301021336092706508534,COCV_181,9000,2023-01-02 13:38:00.0,SHP,SHP,BO,castano.styven_m,
106,CO11407082,'202301021236302706407655,'202301021239012706409603,COCV_545,9000,2023-01-02 12:40:20.0,SHP,SHP,BO,pena.angie_m,
107,CO11407093,'202301021311342706459204,'202301021313352706461274,COCV_391,9000,2023-01-02 13:14:35.0,SHP,SHP,BO,hernandez.luz_m,
108,CO11407097,'202301021321302706478547,'202301021324162706482668,COCV_378,9000,2023-01-02 13:26:12.0,SHP,SHP,BO,sereno.zunilda_m,
109,CO11407097,'202301021321302706478547,'202301021328042706487776,COCV_155,9000,2023-01-02 13:37:00.0,SHP,SHP,CNCL,burgos.sandra_m,
110,CO11407108,'202301021343352706530376,'202301021346052706534772,COCV_643,9000,2023-01-02 13:47:28.0,SHP,SHP,BO,gomez.brayan_m,
111,CO11407157,'202301021446382706687499,'202301021448572706692887,COCV_220,9000,2023-01-02 14:54:55.0,SHP,SHP,BO,herrera.mariana_m,
112,CO11407185,'202301021403362706576964,'202301021406132706580956,COCV_874,9000,2023-01-02 14:08:11.0,SHP,SHP,BO,chavez.yuli_m,
113,CO11407192,'202301021406372706581377,'202301021408252706584686,COCV_116,9000,2023-01-02 14:28:26.0,SHP,SHP,null,null,
114,CO11407193,'202301021408352706585196,'202301021410212706590720,COCV_874,9000,2023-01-02 14:30:27.0,SHP,SHP,null,null,
115,CO11407211,'202301021421352706622777,'202301021423122706624920,COCV_381,9000,2023-01-02 14:24:08.0,SHP,SHP,BO,carmona.julieta_m,
116,CO11407215,'202301021426342706632229,'202301021429062706636279,COCV_262,9000,2023-01-02 14:41:45.0,SHP,SHP,BO,deleon.cindy_m,
117,CO11407231,'202301021446382706687506,'202301021448572706692916,COCV_378,9000,2023-01-02 14:49:26.0,SHP,SHP,BO,sereno.zunilda_m,
118,CO11407240,'202301021451342706705699,'202301021453242706708567,COCV_266,9000,2023-01-02 15:13:27.0,SHP,SHP,null,null,
119,CO11407251,'202301021503362706741137,'202301021505272706745378,COCV_190,9000,2023-01-02 15:07:52.0,SHP,SHP,BO,maestre.deisy_m,
120,CO11407261,'202301021508342706751023,'202301021511172706766490,COCV_577,9000,2023-01-02 15:17:42.0,SHP,SHP,BO,escobar.diana_m,
